filename,timestep,global_charge,absolute_charge,charge_ratio,max_local_density,structure_count
snap_0014_trial004_step_000000.npz,0,1.6664114450336271,1157.605671132763,694.6697791161255,0.49899204298991634,22808
snap_0014_trial004_step_000200.npz,200,1.8975375692039669,1157.022415927299,609.749411076446,0.4996539165022734,22785
snap_0014_trial004_step_000400.npz,400,-0.4445083125060146,1157.4847929995876,2603.966580219935,0.49889104553658775,22723
snap_0014_trial004_step_000600.npz,600,-7.703190696807145,1158.772576370282,150.42761134034342,0.49934726811846236,22723
snap_0014_trial004_step_000800.npz,800,-19.82650792640181,1161.7341441293934,58.594995567715905,0.49851784132476173,22707
snap_0015_trial000_step_000000.npz,0,1.6664052743749203,1157.6056785899311,694.672355936634,0.4989915700397209,22808
snap_0015_trial000_step_000200.npz,200,1.769370051055378,1157.5427121122386,654.2117691929883,0.4993579811126732,22809
snap_0015_trial000_step_000400.npz,400,1.9469760766161635,1157.367216179707,594.4434703053789,0.4997248361933052,22888
snap_0015_trial000_step_000600.npz,600,2.041702855507805,1157.2344764026402,566.7986762686965,0.4975235495041621,22768
snap_0015_trial000_step_000800.npz,800,2.462017471298851,1157.1036238190882,469.9818895836957,0.49926701661749995,22769
snap_0016_trial001_step_000000.npz,0,1.6664052743749203,1157.6056785899311,694.672355936634,0.4989915700397209,22808
snap_0016_trial001_step_000200.npz,200,1.769370051055378,1157.5427121122386,654.2117691929883,0.4993579811126732,22809
snap_0016_trial001_step_000400.npz,400,1.9469760766161635,1157.367216179707,594.4434703053789,0.4997248361933052,22888
snap_0016_trial001_step_000600.npz,600,2.041702855507805,1157.2344764026402,566.7986762686965,0.4975235495041621,22768
snap_0016_trial001_step_000800.npz,800,2.462017471298851,1157.1036238190882,469.9818895836957,0.49926701661749995,22769
snap_0017_trial002_step_000000.npz,0,1.6664052743749203,1157.6056785899311,694.672355936634,0.4989915700397209,22808
snap_0017_trial002_step_000200.npz,200,1.769370051055378,1157.5427121122386,654.2117691929883,0.4993579811126732,22809
snap_0017_trial002_step_000400.npz,400,1.9469760766161635,1157.367216179707,594.4434703053789,0.4997248361933052,22888
snap_0017_trial002_step_000600.npz,600,2.041702855507805,1157.2344764026402,566.7986762686965,0.4975235495041621,22768
snap_0017_trial002_step_000800.npz,800,2.462017471298851,1157.1036238190882,469.9818895836957,0.49926701661749995,22769
snap_0018_trial003_step_000000.npz,0,1.6664052743749203,1157.6056785899311,694.672355936634,0.4989915700397209,22808
snap_0018_trial003_step_000200.npz,200,1.769370051055378,1157.5427121122386,654.2117691929883,0.4993579811126732,22809
snap_0018_trial003_step_000400.npz,400,1.9469760766161635,1157.367216179707,594.4434703053789,0.4997248361933052,22888
snap_0018_trial003_step_000600.npz,600,2.041702855507805,1157.2344764026402,566.7986762686965,0.4975235495041621,22768
snap_0018_trial003_step_000800.npz,800,2.462017471298851,1157.1036238190882,469.9818895836957,0.49926701661749995,22769
snap_0019_trial004_step_000000.npz,0,1.6664052743749203,1157.6056785899311,694.672355936634,0.4989915700397209,22808
snap_0019_trial004_step_000200.npz,200,1.769370051055378,1157.5427121122386,654.2117691929883,0.4993579811126732,22809
snap_0019_trial004_step_000400.npz,400,1.9469760766161635,1157.367216179707,594.4434703053789,0.4997248361933052,22888
snap_0019_trial004_step_000600.npz,600,2.041702855507805,1157.2344764026402,566.7986762686965,0.4975235495041621,22768
snap_0019_trial004_step_000800.npz,800,2.462017471298851,1157.1036238190882,469.9818895836957,0.49926701661749995,22769
snap_0020_trial000_step_000000.npz,0,1.6664065076272854,1157.6056770995494,694.6718409382207,0.49899166462936534,22808
snap_0020_trial000_step_000200.npz,200,1.768196577882705,1157.3748362683027,654.5509985092434,0.49793300432221377,22864
snap_0020_trial000_step_000400.npz,400,1.937085842194177,1156.973770248178,597.2754249963308,0.4980176911346238,22792
snap_0020_trial000_step_000600.npz,600,1.7013485046373962,1157.2199881898337,680.1780965836218,0.49966349909409724,22696
snap_0020_trial000_step_000800.npz,800,0.5610454266160683,1157.5427034721931,2063.188908589265,0.4980100850888335,22788
snap_0021_trial001_step_000000.npz,0,1.6664065076272854,1157.6056770995494,694.6718409382207,0.49899166462936534,22808
snap_0021_trial001_step_000200.npz,200,1.768196577882705,1157.3748362683027,654.5509985092434,0.49793300432221377,22864
snap_0021_trial001_step_000400.npz,400,1.937085842194177,1156.973770248178,597.2754249963308,0.4980176911346238,22792
snap_0021_trial001_step_000600.npz,600,1.7013485046373962,1157.2199881898337,680.1780965836218,0.49966349909409724,22696
snap_0021_trial001_step_000800.npz,800,0.5610454266160683,1157.5427034721931,2063.188908589265,0.4980100850888335,22788
snap_0022_trial002_step_000000.npz,0,1.6664065076272854,1157.6056770995494,694.6718409382207,0.49899166462936534,22808
snap_0022_trial002_step_000200.npz,200,1.768196577882705,1157.3748362683027,654.5509985092434,0.49793300432221377,22864
snap_0022_trial002_step_000400.npz,400,1.937085842194177,1156.973770248178,597.2754249963308,0.4980176911346238,22792
snap_0022_trial002_step_000600.npz,600,1.7013485046373962,1157.2199881898337,680.1780965836218,0.49966349909409724,22696
snap_0022_trial002_step_000800.npz,800,0.5610454266160683,1157.5427034721931,2063.188908589265,0.4980100850888335,22788
snap_0023_trial003_step_000000.npz,0,1.6664065076272854,1157.6056770995494,694.6718409382207,0.49899166462936534,22808
snap_0023_trial003_step_000200.npz,200,1.768196577882705,1157.3748362683027,654.5509985092434,0.49793300432221377,22864
snap_0023_trial003_step_000400.npz,400,1.937085842194177,1156.973770248178,597.2754249963308,0.4980176911346238,22792
snap_0023_trial003_step_000600.npz,600,1.7013485046373962,1157.2199881898337,680.1780965836218,0.49966349909409724,22696
snap_0023_trial003_step_000800.npz,800,0.5610454266160683,1157.5427034721931,2063.188908589265,0.4980100850888335,22788
snap_0024_trial004_step_000000.npz,0,1.6664065076272854,1157.6056770995494,694.6718409382207,0.49899166462936534,22808
snap_0024_trial004_step_000200.npz,200,1.768196577882705,1157.3748362683027,654.5509985092434,0.49793300432221377,22864
snap_0024_trial004_step_000400.npz,400,1.937085842194177,1156.973770248178,597.2754249963308,0.4980176911346238,22792
snap_0024_trial004_step_000600.npz,600,1.7013485046373962,1157.2199881898337,680.1780965836218,0.49966349909409724,22696
snap_0024_trial004_step_000800.npz,800,0.5610454266160683,1157.5427034721931,2063.188908589265,0.4980100850888335,22788
snap_0025_trial000_step_000000.npz,0,1.6664114450333087,1157.6056711327635,694.6697791162585,0.49899204299014877,22808
